frame_id,time_s,tag0_x,tag0_y,tag0_z,tag0_roll,tag0_pitch,tag0_yaw,tag1_x,tag1_y,tag1_z,tag1_roll,tag1_pitch,tag1_yaw,tag2_x,tag2_y,tag2_z,tag2_roll,tag2_pitch,tag2_yaw,tag3_x,tag3_y,tag3_z,tag3_roll,tag3_pitch,tag3_yaw,tag4_x,tag4_y,tag4_z,tag4_roll,tag4_pitch,tag4_yaw,tag5_x,tag5_y,tag5_z,tag5_roll,tag5_pitch,tag5_yaw,tag6_x,tag6_y,tag6_z,tag6_roll,tag6_pitch,tag6_yaw,tag7_x,tag7_y,tag7_z,tag7_roll,tag7_pitch,tag7_yaw,tag8_x,tag8_y,tag8_z,tag8_roll,tag8_pitch,tag8_yaw,tag9_x,tag9_y,tag9_z,tag9_roll,tag9_pitch,tag9_yaw,tag10_x,tag10_y,tag10_z,tag10_roll,tag10_pitch,tag10_yaw,tag11_x,tag11_y,tag11_z,tag11_roll,tag11_pitch,tag11_yaw,tag12_x,tag12_y,tag12_z,tag12_roll,tag12_pitch,tag12_yaw,tag13_x,tag13_y,tag13_z,tag13_roll,tag13_pitch,tag13_yaw,tag14_x,tag14_y,tag14_z,tag14_roll,tag14_pitch,tag14_yaw,tag15_x,tag15_y,tag15_z,tag15_roll,tag15_pitch,tag15_yaw,tag16_x,tag16_y,tag16_z,tag16_roll,tag16_pitch,tag16_yaw,tag17_x,tag17_y,tag17_z,tag17_roll,tag17_pitch,tag17_yaw,left_disp_avg,left_visible_count,right_disp_avg,right_visible_count,tag0_missing,tag1_missing,tag2_missing,tag3_missing,tag4_missing,tag5_missing,tag6_missing,tag7_missing,tag8_missing,tag9_missing,tag10_missing,tag11_missing,tag12_missing,tag13_missing,tag14_missing,tag15_missing,tag16_missing,tag17_missing,velocity_m_s,roll_deg,pitch_deg,yaw_deg
1,3528254628.742362,-0.039467,0.016090,-0.035853,70.032715,-48.922249,-37.696366,-0.043480,0.003041,-0.010617,71.673174,-43.933152,-47.368644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030836,0.033139,-0.043959,72.535212,-60.471513,-37.511835,-0.041497,0.018032,-0.011544,70.274889,-44.969939,-42.460947,-0.038735,0.011102,0.003111,2.249439,-0.764924,4.892200,-0.042933,0.000989,-0.033354,65.034501,-57.320503,-30.326389,-0.048683,-0.014642,-0.003767,58.332607,-44.589526,-28.170494,-0.049374,-0.024125,0.018409,50.064512,-63.585353,-27.369706,0.042088,-0.007754,-0.009126,-0.552671,17.670221,0.856650,0.062459,0.005855,-0.034927,-3.724350,16.125847,3.092005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036870,-0.001257,0.005552,2.563429,14.509022,5.983666,0.058157,0.013736,-0.024831,-3.370156,9.852153,1.491095,0.076369,0.023913,-0.045963,-5.766154,8.204669,4.646382,0.032863,0.009696,0.012523,8.074335,13.100556,13.246100,0.056249,0.024335,-0.021077,-1.377704,5.491197,6.377553,0.074240,0.032298,-0.036140,0.299179,2.987843,2.391476,0.051759,8,0.062477,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.001448,75.840779,26.387825,120.507792
3,3528254628.930758,-0.039562,0.016438,-0.035282,70.934426,-48.497370,-37.611773,-0.043839,0.002648,-0.009882,72.812157,-43.358638,-47.155853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032019,0.033068,-0.041803,73.931885,-59.218040,-38.259073,-0.041993,0.017616,-0.010449,70.451723,-43.954468,-42.129905,-0.039520,0.010170,0.004660,63.488584,-57.249031,-33.717574,-0.043936,0.000528,-0.031850,65.589212,-56.586692,-30.917946,-0.049011,-0.015251,-0.003357,13.046288,-12.701429,-3.142610,-0.049289,-0.024852,0.018159,54.076781,-62.296951,-29.847789,0.042127,-0.007026,-0.009667,0.816831,18.308640,2.739403,0.062290,0.007056,-0.034893,-3.262145,16.179499,3.333661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037660,0.000370,0.002767,2.685007,15.206200,7.442285,0.057680,0.014062,-0.023631,-2.169039,9.708257,1.962264,0.075702,0.024429,-0.043925,-4.086905,7.775025,5.035839,0.032564,0.009398,0.013174,10.250666,12.035426,13.549442,0.087400,0.066552,-0.128642,24.125196,51.565311,114.539743,0.073951,0.033672,-0.036046,0.527099,3.180223,1.862182,0.051788,8,0.075311,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.001443,76.277872,26.076036,120.495751
5,3528254629.131018,-0.055406,-0.000763,0.004072,-4.069771,-8.877378,5.441305,-0.036972,0.009705,0.023238,-6.913362,-14.997466,-1.650900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060712,0.001945,-0.014943,-3.402232,-12.159414,15.668634,-0.041570,0.017687,0.011036,-6.653266,-11.392681,0.186402,-0.026677,0.024085,0.021170,-10.518606,-9.246634,14.397801,-0.050593,-0.006980,0.018350,-4.330181,-7.542842,13.902695,-0.029273,0.005809,0.042461,-9.491600,-1.297586,2.879376,-0.012668,0.014165,0.053795,-15.904004,-9.423028,19.757276,0.024431,-0.026017,-0.025327,-84.291829,47.676196,-51.597896,0.017488,-0.041441,-0.054221,-85.044400,48.429080,-47.699682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028281,-0.010032,-0.022048,-77.730565,51.771792,-45.656716,0.018526,-0.027969,-0.053813,-76.680314,45.238248,-38.418655,0.011849,-0.043331,-0.080820,-79.861988,48.629332,-37.352092,0.026774,0.003393,-0.024279,-70.482441,57.560346,-42.000398,0.015614,-0.018241,-0.059258,-70.088021,48.947676,-30.804167,0.013499,-0.030889,-0.082737,-69.459306,44.202896,-31.468904,0.051786,8,0.062114,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.001948,5.591822,-41.091277,-62.116461
7,3528254629.329411,-0.039436,0.016579,-0.035592,70.141166,-48.694233,-37.566001,-0.042819,0.003505,-0.011311,74.038344,-43.438666,-48.420824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031746,0.033218,-0.042328,72.219470,-59.039639,-37.196344,-0.041777,0.017869,-0.010795,69.798098,-44.127091,-41.442900,-0.039698,0.010117,0.004972,62.908274,-57.236106,-33.520575,-0.043586,0.000891,-0.032412,65.588994,-56.460878,-31.158684,-0.048745,-0.014893,-0.003637,59.473122,-44.513288,-28.870965,-0.049117,-0.024539,0.018023,54.952964,-62.144394,-30.691823,0.042185,-0.007189,-0.009824,1.169098,18.090125,2.340072,0.062406,0.006955,-0.035515,-3.504765,16.388691,3.330067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037666,0.000113,0.002874,3.594748,15.670382,7.873088,0.057213,0.012835,-0.021991,-1.006926,8.146592,1.429867,0.075585,0.023664,-0.043464,-4.268369,7.925610,5.004434,0.033252,0.010148,0.011287,9.952424,13.638090,13.417585,0.055620,0.024125,-0.019355,0.114898,3.854124,6.400161,0.073893,0.033040,-0.035716,1.177320,3.092401,2.580348,0.051716,8,0.061932,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002930,5.850910,-41.122258,-62.244757
9,3528254629.539054,-0.055791,-0.001311,0.002311,-3.691025,-10.121998,5.438459,-0.037646,0.009166,0.022319,-6.896436,-15.623365,-1.636789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060691,0.001640,-0.016749,-3.382443,-13.206502,16.102440,-0.042443,0.016458,0.008647,-5.395361,-12.508149,0.056757,-0.027921,0.022641,0.018972,-58.517304,45.289132,-22.163573,-0.051533,-0.008248,0.015331,-3.999299,-9.084814,14.580367,-0.030404,0.004878,0.041298,-9.700627,-2.229494,3.547161,-0.014200,0.012916,0.052595,-14.410022,-10.205959,19.574652,0.025384,-0.025484,-0.024755,-80.965715,46.858003,-49.057188,0.017926,-0.041334,-0.055615,-83.642663,48.698486,-46.985282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026989,-0.011201,-0.024386,-76.668706,51.282831,-44.133750,0.019465,-0.027510,-0.054269,-74.460316,44.679509,-37.004093,0.012259,-0.043268,-0.082926,-79.374728,48.340504,-36.502805,0.027357,0.003790,-0.023748,-67.621106,56.551491,-38.708000,0.015773,-0.018420,-0.060837,-68.068357,47.663827,-28.222553,0.015509,-0.029708,-0.082743,-65.568596,42.339628,-27.923180,0.051554,8,0.062838,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002818,75.660748,26.462194,120.533130
11,3528254629.731280,-0.056121,-0.000921,0.002019,-4.438020,-10.358884,4.947526,-0.038562,0.007890,0.019416,-5.275896,-15.811674,-2.736912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061108,0.002243,-0.016886,-62.624131,41.127271,-18.266855,-0.042381,0.016969,0.008994,-5.224025,-11.658696,-0.949959,-0.028581,0.021380,0.016553,-7.943637,-10.583117,13.227654,-0.051264,-0.006862,0.017586,-5.304957,-8.763851,13.987634,-0.030494,0.004680,0.041011,-8.526618,-0.861255,2.108216,-0.014375,0.012155,0.051682,-14.931104,-9.948932,19.291422,0.023090,-0.027069,-0.028046,-82.277451,47.820480,-50.862913,0.014801,-0.042828,-0.059479,-85.546956,49.561900,-48.767320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025694,-0.012340,-0.026384,-77.164128,52.233506,-45.922879,0.018712,-0.027712,-0.055122,-74.319266,44.987339,-37.411750,0.012825,-0.042211,-0.081966,-76.809564,48.136436,-35.061981,0.025350,0.001808,-0.026945,-68.512980,57.372412,-40.295187,0.014820,-0.018731,-0.061980,-67.746592,48.110093,-28.586567,0.014504,-0.029792,-0.083824,-65.707163,42.906436,-29.028244,0.051290,8,0.063759,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002878,5.713796,-41.358766,-62.218459
13,3528254629.935842,-0.054673,0.000565,0.006210,-4.148254,-8.732420,4.959841,-0.036938,0.009572,0.023207,-6.222728,-14.614330,-2.352488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060072,0.003194,-0.013516,-4.324048,-12.158930,16.716412,-0.041677,0.017241,0.010384,-4.917784,-11.813844,-0.467347,-0.027739,0.022089,0.018291,-61.406786,46.518756,-24.147490,-0.050260,-0.006450,0.019302,-4.709417,-8.039697,14.236412,-0.029351,0.005405,0.042440,-7.525781,-0.822365,2.186952,-0.012880,0.013451,0.053680,-15.180438,-9.126071,19.412402,0.024110,-0.025956,-0.025921,-83.371004,47.564939,-51.013269,0.017571,-0.040806,-0.054497,-84.889878,49.314100,-48.147106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025813,-0.011802,-0.025586,-79.465197,52.023337,-46.780594,0.020158,-0.026330,-0.052003,-73.869936,44.314050,-35.810795,0.013822,-0.041268,-0.079041,-78.581155,48.912475,-37.198748,0.025725,0.002614,-0.025678,-68.143440,58.302547,-40.980529,0.016413,-0.017108,-0.058468,-68.752565,48.914880,-30.117502,0.013767,-0.029918,-0.082818,-69.677182,45.389668,-31.594321,0.051306,8,0.061623,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002302,75.817321,26.683217,120.984978
15,3528254630.130926,-0.040204,0.015941,-0.034915,69.570035,-48.003985,-36.515032,-0.043087,0.003086,-0.010811,72.386718,-42.533467,-46.532462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032239,0.032988,-0.042373,71.728933,-59.334700,-36.094600,-0.040674,0.018464,-0.012456,69.954291,-43.859705,-41.442272,-0.038075,0.011157,0.002535,3.275383,0.088992,6.332876,-0.044763,-0.000240,-0.030992,62.634223,-56.478647,-29.336448,-0.047492,-0.014280,-0.004979,12.464756,-12.289159,-2.988001,-0.046871,-0.023114,0.015454,55.098043,-62.037860,-29.716886,0.042746,-0.005904,-0.011772,-0.169286,18.368484,1.761509,0.061957,0.006939,-0.035306,-3.288976,16.713253,4.471214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038595,0.001815,-0.000073,2.238177,16.028722,7.505664,0.057794,0.014736,-0.025337,-2.701209,9.092426,1.168384,0.075828,0.025924,-0.047491,-5.242845,10.138836,5.720489,0.033254,0.010385,0.011209,8.381588,13.607980,13.308687,0.056074,0.025791,-0.022478,-1.301890,4.865746,6.864874,0.073854,0.034463,-0.038342,-0.054820,4.304115,3.169463,0.050958,8,0.063165,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002431,5.936406,-41.455367,-62.174600
17,3528254630.330314,-0.039732,0.016261,-0.035423,70.158430,-48.485021,-37.563928,-0.042360,0.003622,-0.011798,73.631421,-42.436948,-47.491146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031907,0.033162,-0.042679,72.176220,-59.397863,-36.901471,-0.041363,0.017956,-0.011406,70.019139,-44.091422,-41.385329,-0.039409,0.010134,0.004714,62.392435,-57.136392,-32.440756,-0.044714,-0.000176,-0.030986,63.323200,-55.980219,-28.573787,-0.049064,-0.015594,-0.002701,56.386290,-43.051383,-26.186796,-0.047665,-0.023758,0.016607,54.484820,-61.912595,-29.514473,0.042564,-0.006190,-0.011363,-0.576009,18.824874,1.582370,0.061638,0.006249,-0.034149,-2.730858,16.440010,4.142062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037641,0.000299,0.002751,3.540499,15.756367,7.667244,0.057643,0.014517,-0.024929,-1.790246,10.148931,2.255526,0.075194,0.024413,-0.044606,-4.269895,8.139247,4.697860,0.032971,0.010069,0.011865,9.549871,13.738510,13.343250,0.055724,0.025211,-0.021315,-0.658102,5.425233,6.984009,0.073716,0.034106,-0.037637,0.419084,3.074829,2.660851,0.051470,8,0.062369,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.001776,76.302592,26.132812,120.552100
19,3528254630.530145,-0.038792,0.016880,-0.037417,68.954505,-49.323476,-36.633267,-0.041751,0.004334,-0.013249,72.986919,-43.544319,-47.288353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030374,0.033973,-0.045544,71.507005,-59.617583,-36.094346,-0.039957,0.019157,-0.014079,69.165420,-43.763215,-41.015935,-0.038541,0.011142,0.002782,3.022337,-0.739358,5.930118,-0.043647,0.000640,-0.032982,63.045794,-57.215342,-29.070738,-0.046055,-0.012744,-0.007396,59.661223,-44.129798,-28.836934,-0.046962,-0.022648,0.015264,53.155275,-62.300970,-28.070400,0.043567,-0.005109,-0.013661,-0.501165,18.994053,2.049326,0.062539,0.006773,-0.036201,-3.850608,16.639488,2.863022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038619,0.001455,0.000419,2.653035,15.892302,7.650988,0.057869,0.013818,-0.024482,-2.362328,8.036941,1.287255,0.076153,0.024750,-0.046854,-5.147914,7.801763,4.140464,0.033792,0.011019,0.009984,10.608973,14.504722,14.350600,0.056490,0.025525,-0.022849,-0.743621,4.448951,6.068135,0.074484,0.034185,-0.039259,-0.534875,4.458241,2.362629,0.051128,8,0.063517,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.001970,5.526033,-41.708175,-62.000243
