frame_id,time_s,tag0_x,tag0_y,tag0_z,tag0_roll,tag0_pitch,tag0_yaw,tag1_x,tag1_y,tag1_z,tag1_roll,tag1_pitch,tag1_yaw,tag2_x,tag2_y,tag2_z,tag2_roll,tag2_pitch,tag2_yaw,tag3_x,tag3_y,tag3_z,tag3_roll,tag3_pitch,tag3_yaw,tag4_x,tag4_y,tag4_z,tag4_roll,tag4_pitch,tag4_yaw,tag5_x,tag5_y,tag5_z,tag5_roll,tag5_pitch,tag5_yaw,tag6_x,tag6_y,tag6_z,tag6_roll,tag6_pitch,tag6_yaw,tag7_x,tag7_y,tag7_z,tag7_roll,tag7_pitch,tag7_yaw,tag8_x,tag8_y,tag8_z,tag8_roll,tag8_pitch,tag8_yaw,tag9_x,tag9_y,tag9_z,tag9_roll,tag9_pitch,tag9_yaw,tag10_x,tag10_y,tag10_z,tag10_roll,tag10_pitch,tag10_yaw,tag11_x,tag11_y,tag11_z,tag11_roll,tag11_pitch,tag11_yaw,tag12_x,tag12_y,tag12_z,tag12_roll,tag12_pitch,tag12_yaw,tag13_x,tag13_y,tag13_z,tag13_roll,tag13_pitch,tag13_yaw,tag14_x,tag14_y,tag14_z,tag14_roll,tag14_pitch,tag14_yaw,tag15_x,tag15_y,tag15_z,tag15_roll,tag15_pitch,tag15_yaw,tag16_x,tag16_y,tag16_z,tag16_roll,tag16_pitch,tag16_yaw,tag17_x,tag17_y,tag17_z,tag17_roll,tag17_pitch,tag17_yaw,left_disp_avg,left_visible_count,right_disp_avg,right_visible_count,tag0_missing,tag1_missing,tag2_missing,tag3_missing,tag4_missing,tag5_missing,tag6_missing,tag7_missing,tag8_missing,tag9_missing,tag10_missing,tag11_missing,tag12_missing,tag13_missing,tag14_missing,tag15_missing,tag16_missing,tag17_missing,velocity_m_s,roll_deg,pitch_deg,yaw_deg
92,3528255369.857164,-0.037453,0.018159,-0.039869,68.657056,-47.851241,-36.384862,-0.041673,0.004644,-0.013351,71.011727,-43.837943,-46.084251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.039305,0.019934,-0.014994,69.282336,-44.720033,-41.972692,-0.038577,0.011396,0.003302,58.321128,-56.894329,-29.946120,-0.040547,0.003471,-0.037693,64.531711,-56.428968,-29.683737,-0.046743,-0.013096,-0.006135,56.134349,-44.251691,-27.146976,-0.046867,-0.022340,0.015851,50.935089,-61.950585,-27.471642,0.043253,-0.005564,-0.013892,-2.005531,19.198134,0.894505,0.062356,0.006921,-0.038136,-4.922695,17.459974,3.407958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038750,0.001484,-0.000500,1.052273,16.523229,6.865116,0.057333,0.013197,-0.024863,-2.447568,10.621550,2.380890,0.075634,0.023984,-0.048041,-5.394345,10.029007,4.491382,0.034069,0.010765,0.009885,7.340166,12.465754,10.695040,0.054141,0.022319,-0.017482,1.738795,8.351217,8.539263,0.074723,0.034335,-0.042569,-2.716238,2.802113,0.947260,0.049605,7,0.063173,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000000,173.261944,71.256172,-96.381109
309,3528255391.561852,-0.059374,-0.005998,-0.008276,-59.518682,28.543348,-18.998182,-0.039143,0.007450,0.018565,-5.955045,-15.690738,-2.376018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063478,-0.001560,-0.024496,-1.303799,-13.229387,15.225082,-0.043759,0.014946,0.005044,-63.405676,29.850351,-29.058061,-0.028583,0.021942,0.017463,-57.850028,44.790062,-21.558025,-0.054242,-0.011204,0.007955,-2.794399,-9.618680,13.094898,-0.032177,0.002621,0.036975,-7.988785,-2.386703,2.712369,-0.015376,0.011273,0.050207,-16.027916,-11.212084,20.258933,0.024201,-0.026155,-0.026533,-82.292684,46.639654,-50.133568,0.018289,-0.040660,-0.055454,-81.785194,47.833891,-44.828488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028584,-0.009923,-0.022057,-72.839134,52.397503,-41.281668,0.019047,-0.027299,-0.054894,-75.613266,45.368774,-37.915571,0.013886,-0.041624,-0.081514,-75.201510,46.617503,-33.869924,0.026635,0.002849,-0.025267,-65.646439,55.273461,-36.188904,0.020193,-0.014045,-0.054381,-66.118112,50.267533,-30.776558,0.013623,-0.030693,-0.085714,-67.778335,42.365641,-28.419365,0.052196,8,0.062296,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.437513,154.374572,40.939066,156.757077
315,3528255392.162044,-0.033956,0.020288,-0.042705,73.377964,-46.920089,-38.528697,-0.042780,0.003614,-0.011491,72.369112,-43.010384,-46.969076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.027452,0.035723,-0.047768,74.546076,-60.107879,-38.657553,-0.039015,0.019705,-0.014440,72.371312,-44.742333,-44.852819,-0.037999,0.011547,0.002227,64.157682,-57.933218,-35.290398,-0.039851,0.003770,-0.037289,66.805029,-57.783771,-31.718969,-0.048353,-0.014323,-0.004622,13.469655,-14.096508,-3.645000,-0.048673,-0.023474,0.016584,55.534861,-63.921605,-31.737710,0.041061,-0.008675,-0.007245,-0.360537,17.347526,1.046563,0.061309,0.004269,-0.031172,-4.427987,14.453659,2.176270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036635,-0.001090,0.005035,3.072489,14.099111,7.096901,0.056575,0.011621,-0.020231,-2.615961,7.853782,1.285287,0.075438,0.022153,-0.041587,-4.880271,6.492219,2.539453,0.032326,0.008836,0.013665,6.917474,11.206941,10.791447,0.052972,0.020249,-0.011888,1.759970,6.193555,7.411987,0.074526,0.032768,-0.036746,-1.837239,2.426029,0.780592,0.052000,8,0.060261,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.247403,153.590903,42.388660,155.027295
321,3528255392.761412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.043515,0.002659,-0.010192,73.394835,-42.608468,-47.701487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.038348,0.019871,-0.015018,75.608527,-45.000416,-46.574339,-0.039210,0.010195,0.004132,4.325383,-1.424786,5.771277,-0.040989,0.002813,-0.035411,68.224682,-57.262036,-32.299879,-0.048830,-0.015364,-0.003568,59.984902,-44.338313,-28.955990,-0.049173,-0.024889,0.017499,57.766207,-62.933245,-32.637273,0.040547,-0.008858,-0.006028,0.717573,17.211607,1.863608,0.060482,0.004157,-0.029018,-2.822489,14.652192,3.752971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036142,-0.001266,0.005972,2.879454,13.761676,7.213514,0.055785,0.011675,-0.018481,-1.350529,9.308232,2.532973,0.074245,0.021847,-0.038250,-3.532647,7.040290,3.787574,0.032167,0.009138,0.013432,8.754351,11.646468,12.276847,0.051760,0.019598,-0.008853,3.247488,5.669731,8.703223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049100,6,0.054876,7,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.400107,152.924342,43.901570,153.945384
323,3528255392.960096,-0.057730,-0.004110,-0.002803,-1.600971,-9.160282,3.620242,-0.038091,0.008261,0.020547,-7.160274,-14.461435,-1.894591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063105,-0.001880,-0.022653,-1.971422,-13.251468,16.473958,-0.043331,0.014891,0.005811,-4.900129,-13.475261,-0.403189,-0.028000,0.022297,0.018081,-9.358151,-9.291707,14.277473,-0.052757,-0.009727,0.012362,-4.297487,-8.170498,14.291887,-0.030991,0.003438,0.038168,-8.531685,-2.913373,3.086034,-0.014086,0.012334,0.051018,-16.718195,-10.270677,20.405010,0.025881,-0.024794,-0.023130,-82.609596,47.255411,-50.259082,0.017303,-0.041213,-0.054811,-85.653304,48.197511,-48.159905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025965,-0.011718,-0.025228,-79.173220,52.370841,-45.603089,0.018813,-0.027351,-0.053413,-77.453687,46.616920,-39.605411,0.013989,-0.041651,-0.078782,-77.975737,47.104857,-36.322642,0.026958,0.003411,-0.024232,-67.354123,55.853037,-38.613674,0.021513,-0.012843,-0.051107,-65.533355,50.370109,-30.366810,0.012764,-0.031270,-0.084095,-70.548816,43.009046,-30.460886,0.051756,8,0.061060,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.462573,153.076383,44.169932,153.853147
325,3528255393.157512,-0.057249,-0.003511,-0.001808,-2.404780,-9.321623,3.703780,-0.037089,0.009679,0.023380,-6.791781,-13.495317,-2.579089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062337,-0.000452,-0.020468,-2.601155,-12.404465,16.210837,-0.043258,0.014705,0.005582,-4.592428,-13.803058,0.004408,-0.027326,0.023076,0.019636,-9.927098,-8.665800,14.682542,-0.052747,-0.009983,0.011672,-2.940681,-8.921563,14.007740,-0.030623,0.003674,0.038902,-8.439478,-2.393069,2.957335,-0.012959,0.013495,0.053885,-15.612818,-10.341779,19.636814,0.025575,-0.024827,-0.023454,-83.086409,47.644931,-51.062202,0.019424,-0.039519,-0.051865,-83.186755,48.714092,-46.534492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027597,-0.010296,-0.022698,-76.892764,52.442727,-44.936203,0.019062,-0.026884,-0.052933,-77.671771,45.921895,-39.682453,0.014811,-0.040656,-0.077613,-76.689466,47.466116,-35.911444,0.026651,0.003246,-0.024464,-70.311354,55.810103,-39.535467,0.021393,-0.012616,-0.051002,-66.655440,51.470142,-32.015434,0.013000,-0.030639,-0.083586,-70.686738,44.217742,-31.369277,0.052044,8,0.060265,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.393171,153.517115,44.198373,154.174076
327,3528255393.366498,-0.036964,0.018580,-0.038666,3.769786,-10.377875,-6.739401,-0.042204,0.004201,-0.012001,73.259231,-43.076676,-48.227014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.027481,0.036181,-0.047419,76.152083,-60.316029,-40.186791,-0.038631,0.020174,-0.014680,73.179621,-44.786438,-45.454383,-0.040022,0.010133,0.005665,61.355849,-57.019689,-33.173500,-0.041099,0.003234,-0.035644,65.673798,-56.711931,-30.601975,-0.048259,-0.014212,-0.004360,58.762299,-43.805254,-28.878963,-0.048242,-0.023321,0.016408,54.847581,-63.330962,-32.034910,0.040413,-0.009649,-0.005906,0.398673,17.960614,0.862014,0.060751,0.004008,-0.030821,-2.971991,15.551386,3.234328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037431,0.000091,0.002474,2.661561,15.053042,7.002939,0.055963,0.011026,-0.019170,-0.804528,8.960532,2.227013,0.074891,0.022275,-0.041738,-3.854542,7.881114,3.728456,0.032110,0.008426,0.014333,9.666058,11.225356,11.817629,0.052617,0.020000,-0.011435,2.362843,7.006028,7.620515,0.074076,0.033004,-0.037081,-0.500262,3.922410,0.922104,0.051884,8,0.059906,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.347181,153.654075,44.126095,154.042481
329,3528255393.571373,-0.035980,0.018911,-0.040205,72.656032,-47.846865,-38.853797,-0.041440,0.004406,-0.013648,74.430993,-44.170332,-48.414858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.027725,0.035888,-0.047475,76.043990,-60.745101,-39.822835,-0.037808,0.020517,-0.016556,74.370769,-45.163617,-45.471372,-0.038900,0.010750,0.003058,4.026043,-1.346089,6.006778,-0.039024,0.004246,-0.038497,69.257443,-58.090871,-33.155671,-0.047651,-0.014316,-0.005681,57.763971,-45.451508,-28.600327,-0.047514,-0.023215,0.014608,16.873059,-1.857203,16.422798,0.041469,-0.007959,-0.007607,0.117876,17.165232,1.632282,0.061616,0.005504,-0.031453,-3.218009,14.618442,3.712201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037566,0.000536,0.002875,2.571281,14.381082,7.423999,0.056511,0.012237,-0.019519,-0.941702,8.680307,2.700495,0.075675,0.024055,-0.042524,-4.415568,7.748756,3.618525,0.033081,0.010251,0.011671,6.326335,11.500990,10.917771,0.053380,0.021790,-0.013123,2.416740,6.778659,9.045846,0.074572,0.034421,-0.037225,-0.729132,3.172104,1.807007,0.051646,8,0.060867,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.309328,153.741254,44.371395,154.539299
330,3528255393.674604,-0.036963,0.018274,-0.038640,71.972355,-48.193722,-39.011090,-0.042127,0.003954,-0.012301,73.717736,-44.327464,-48.645082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.028962,0.035087,-0.045604,74.238705,-60.884381,-38.649882,-0.038681,0.019913,-0.014872,73.394250,-44.806673,-45.224334,-0.038324,0.011144,0.002702,3.937380,-0.673968,6.069451,-0.041370,0.002612,-0.035307,65.310191,-56.859764,-30.240369,-0.048856,-0.015120,-0.003667,57.044313,-44.825175,-27.958547,-0.048626,-0.024017,0.016669,18.056680,-1.893215,16.810951,0.040892,-0.008829,-0.006733,0.204143,17.959967,1.538522,0.060557,0.003585,-0.029182,-2.987488,14.079175,3.113685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037354,0.000185,0.002915,2.084366,14.923815,7.110588,0.055702,0.010818,-0.017808,-0.550285,8.474700,2.097665,0.074699,0.022005,-0.040025,-3.504458,7.786149,3.672112,0.032865,0.009706,0.012092,6.460186,11.854181,11.193041,0.052415,0.020071,-0.010584,2.820989,6.387679,8.495451,0.073631,0.032491,-0.034562,0.042290,2.152738,1.014158,0.051679,8,0.059404,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.273886,154.034384,44.393924,154.959323
331,3528255393.775006,-0.036299,0.019173,-0.040669,71.846649,-48.261060,-38.824223,-0.041453,0.004733,-0.013451,72.630093,-43.675135,-47.135284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029151,0.035478,-0.047026,72.445777,-60.232621,-36.872231,-0.037872,0.020862,-0.016574,71.976955,-44.632591,-43.916694,-0.037265,0.012183,0.001310,63.409032,-57.170745,-32.729250,-0.039645,0.004308,-0.038331,66.691876,-56.782091,-30.749712,-0.048159,-0.014470,-0.004183,55.204296,-44.271978,-27.140507,-0.046946,-0.022657,0.015331,16.987829,-0.974971,16.447256,0.041899,-0.007378,-0.009893,-0.206542,19.275825,1.620811,0.061004,0.004725,-0.032523,-3.151138,15.672106,3.560830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038667,0.001924,-0.000749,2.056555,16.135175,7.701439,0.057260,0.013849,-0.024687,-2.944657,10.315317,1.944343,0.075106,0.023792,-0.045108,-4.575424,9.039965,3.972466,0.033391,0.010182,0.011200,7.396898,12.254530,11.408099,0.052839,0.020811,-0.012841,3.057379,7.162450,8.320094,0.074003,0.034049,-0.039406,-0.701944,4.400992,1.300236,0.051624,8,0.061466,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.261702,153.922660,44.248201,154.809081
