frame_id,time_s,tag0_x,tag0_y,tag0_z,tag0_qx,tag0_qy,tag0_qz,tag0_qw,tag1_x,tag1_y,tag1_z,tag1_qx,tag1_qy,tag1_qz,tag1_qw,tag2_x,tag2_y,tag2_z,tag2_qx,tag2_qy,tag2_qz,tag2_qw,tag3_x,tag3_y,tag3_z,tag3_qx,tag3_qy,tag3_qz,tag3_qw,tag4_x,tag4_y,tag4_z,tag4_qx,tag4_qy,tag4_qz,tag4_qw,tag5_x,tag5_y,tag5_z,tag5_qx,tag5_qy,tag5_qz,tag5_qw,tag6_x,tag6_y,tag6_z,tag6_qx,tag6_qy,tag6_qz,tag6_qw,tag7_x,tag7_y,tag7_z,tag7_qx,tag7_qy,tag7_qz,tag7_qw,tag8_x,tag8_y,tag8_z,tag8_qx,tag8_qy,tag8_qz,tag8_qw,tag9_x,tag9_y,tag9_z,tag9_qx,tag9_qy,tag9_qz,tag9_qw,tag10_x,tag10_y,tag10_z,tag10_qx,tag10_qy,tag10_qz,tag10_qw,tag11_x,tag11_y,tag11_z,tag11_qx,tag11_qy,tag11_qz,tag11_qw,tag12_x,tag12_y,tag12_z,tag12_qx,tag12_qy,tag12_qz,tag12_qw,tag13_x,tag13_y,tag13_z,tag13_qx,tag13_qy,tag13_qz,tag13_qw,tag14_x,tag14_y,tag14_z,tag14_qx,tag14_qy,tag14_qz,tag14_qw,tag15_x,tag15_y,tag15_z,tag15_qx,tag15_qy,tag15_qz,tag15_qw,tag16_x,tag16_y,tag16_z,tag16_qx,tag16_qy,tag16_qz,tag16_qw,tag17_x,tag17_y,tag17_z,tag17_qx,tag17_qy,tag17_qz,tag17_qw,left_disp_avg,left_visible_count,right_disp_avg,right_visible_count,tag0_missing,tag1_missing,tag2_missing,tag3_missing,tag4_missing,tag5_missing,tag6_missing,tag7_missing,tag8_missing,tag9_missing,tag10_missing,tag11_missing,tag12_missing,tag13_missing,tag14_missing,tag15_missing,tag16_missing,tag17_missing,velocity_m_s,out_qx,out_qy,out_qz,out_qw
1,3528253962.995986,-0.057290,-0.003558,-0.001678,-0.017969,-0.084008,0.040245,0.995490,-0.037411,0.009319,0.022370,-0.066076,-0.128363,-0.020680,0.989307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.062394,-0.000662,-0.020146,-0.453505,0.368895,0.051898,0.809664,-0.042572,0.016240,0.008127,-0.047949,-0.104955,-0.003369,0.993315,-0.027192,0.023605,0.020260,-0.374288,0.422161,0.027271,0.825194,-0.051575,-0.007958,0.016373,-0.040630,-0.056901,0.111570,0.991294,-0.030827,0.003839,0.038763,-0.071195,-0.021368,0.022962,0.996969,-0.013068,0.013800,0.053735,-0.123347,-0.105939,0.154790,0.974476,0.024629,-0.025657,-0.024830,-0.426299,0.532360,-0.054257,0.729327,0.018289,-0.040692,-0.053343,-0.438949,0.521093,-0.018538,0.731739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.027705,-0.010406,-0.022633,-0.393601,0.530370,-0.021933,0.750536,0.018992,-0.027440,-0.053290,-0.441389,0.469937,-0.014572,0.764279,0.015395,-0.040800,-0.076994,-0.443693,0.468762,0.023363,0.763448,0.027128,0.003619,-0.023598,-0.334736,0.542268,0.004477,0.770634,0.017265,-0.016835,-0.057235,-0.414707,0.458974,0.031644,0.785086,0.014616,-0.030066,-0.081926,-0.432675,0.423218,0.005495,0.796020,0.052067,8,0.061033,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.001228,-0.046315,0.329759,0.471583,0.816531
3,3528253963.201904,-0.057311,-0.003318,-0.001347,-0.016142,-0.077955,0.036248,0.996167,-0.037982,0.008400,0.021310,-0.057583,-0.133170,-0.022742,0.989158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.062449,-0.000398,-0.020457,0.001003,-0.110939,0.127689,0.985590,-0.043232,0.015272,0.006747,-0.043867,-0.114899,0.001261,0.992407,-0.028194,0.021957,0.018065,-0.067515,-0.100031,0.112702,0.986273,-0.052051,-0.008762,0.015054,-0.030887,-0.056636,0.114729,0.991300,-0.030752,0.003712,0.039855,-0.075018,-0.018288,0.023267,0.996743,-0.013986,0.012181,0.052233,-0.125293,-0.116069,0.161947,0.971907,0.023813,-0.026000,-0.026652,-0.421358,0.533416,-0.048068,0.731857,0.018136,-0.040259,-0.054613,-0.431198,0.525427,-0.013949,0.733348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.027602,-0.010254,-0.023114,-0.382919,0.531922,-0.015560,0.755109,0.019794,-0.026333,-0.053078,-0.434618,0.464695,-0.016210,0.771299,0.014943,-0.040262,-0.078739,-0.438205,0.467311,0.021857,0.767541,0.026649,0.003492,-0.024445,-0.325028,0.538693,0.007874,0.777242,0.016203,-0.017083,-0.059353,-0.412292,0.458589,0.034531,0.786460,0.014459,-0.029277,-0.083134,-0.426107,0.415899,0.007601,0.803370,0.051834,8,0.061690,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004695,-0.052667,0.328476,0.472045,0.816396
5,3528253963.400394,-0.036545,0.018686,-0.040153,0.397240,-0.476964,-0.010064,0.783967,-0.042795,0.003626,-0.011610,0.380449,-0.494517,-0.100302,0.775017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.028936,0.035135,-0.046967,0.361283,-0.539932,0.052046,0.758445,-0.039448,0.019615,-0.014408,0.387439,-0.485914,-0.067499,0.780527,-0.039698,0.010426,0.004639,0.039083,-0.003909,0.047525,0.998098,-0.041653,0.002357,-0.035641,0.351031,-0.498287,0.052934,0.791003,-0.048943,-0.014960,-0.003643,0.350701,-0.421235,-0.020300,0.836157,-0.048858,-0.024065,0.017532,0.259992,-0.546940,0.034427,0.795031,0.041227,-0.008572,-0.007497,-0.006055,0.150948,0.010533,0.988467,0.061827,0.005761,-0.033967,-0.039309,0.138765,0.035627,0.988903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.037001,-0.000720,0.004448,0.023903,0.129323,0.054871,0.989795,0.057066,0.012666,-0.022151,-0.016550,0.077192,0.011286,0.996815,0.075182,0.022707,-0.042522,-0.039953,0.063823,0.043078,0.996230,0.032667,0.009563,0.012518,0.057891,0.127921,0.100224,0.985008,0.054867,0.022849,-0.017289,-0.002594,0.038087,0.057736,0.997602,0.074229,0.033373,-0.037558,-0.014462,0.012037,0.011644,0.999755,0.052295,8,0.061305,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.009833,-0.047990,0.330451,0.471057,0.816458
7,3528253963.600122,-0.037001,0.018594,-0.039113,0.394978,-0.479349,-0.015663,0.783563,-0.042276,0.004350,-0.012484,0.376610,-0.503587,-0.104658,0.770462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.027851,0.035884,-0.047498,-0.039856,-0.056299,0.011138,0.997556,-0.039976,0.019509,-0.013505,0.383273,-0.485460,-0.074529,0.782225,-0.039179,0.011073,0.003690,0.044275,-0.006677,0.044056,0.998025,-0.041099,0.003128,-0.036243,0.355790,-0.504031,0.048886,0.785479,-0.048281,-0.013880,-0.005243,0.119629,-0.123378,-0.020840,0.984902,-0.049071,-0.023616,0.016740,0.251383,-0.552472,0.030481,0.794136,0.041218,-0.008818,-0.007263,0.001273,0.150590,0.009811,0.988547,0.062225,0.005595,-0.033607,-0.035376,0.133223,0.029939,0.990002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.037298,-0.000503,0.003689,0.017664,0.125708,0.049344,0.990682,0.057774,0.013127,-0.023073,-0.022722,0.076882,0.008978,0.996741,0.075782,0.022523,-0.042031,-0.037129,0.059022,0.039089,0.996800,0.033128,0.009815,0.011474,0.058565,0.125007,0.101124,0.985250,0.056071,0.023919,-0.019702,-0.016854,0.045164,0.052953,0.997433,0.075119,0.033616,-0.038062,-0.012781,0.020150,0.005723,0.999699,0.052089,8,0.061932,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.018837,-0.048086,0.331055,0.472607,0.815311
9,3528253963.792954,-0.056897,-0.002486,-0.000094,-0.017592,-0.076450,0.033719,0.996348,-0.037175,0.009420,0.022516,-0.065063,-0.128986,-0.020385,0.989300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.062092,0.000505,-0.018805,-0.003616,-0.096668,0.119776,0.988077,-0.042093,0.016888,0.009202,-0.055723,-0.101211,-0.006642,0.993281,-0.026580,0.023986,0.021095,-0.078067,-0.088625,0.108937,0.987008,-0.051961,-0.008530,0.014701,-0.025065,-0.059322,0.113057,0.991499,-0.030063,0.004455,0.040239,-0.072721,-0.021218,0.022460,0.996874,-0.012933,0.013174,0.052994,-0.112477,-0.108334,0.151851,0.975989,0.025236,-0.024946,-0.023612,-0.417667,0.536572,-0.052476,0.731363,0.019155,-0.039476,-0.051581,-0.433029,0.519361,-0.022029,0.736386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.027389,-0.010456,-0.022843,-0.389159,0.535063,-0.024363,0.749446,0.019017,-0.026732,-0.052629,-0.438506,0.476847,-0.015341,0.761640,0.015576,-0.039748,-0.076002,-0.435674,0.473773,0.024208,0.764946,0.027998,0.004518,-0.022154,-0.323209,0.545866,0.000136,0.773024,0.015996,-0.017169,-0.058262,-0.414326,0.467908,0.030289,0.780051,0.013868,-0.029612,-0.081996,-0.423396,0.431235,0.007678,0.796689,0.051919,8,0.060471,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.016233,-0.046707,0.331220,0.471626,0.815892
11,3528253963.998004,-0.056862,-0.002433,0.000429,-0.017842,-0.062908,0.030163,0.997404,-0.038005,0.007899,0.020040,-0.051044,-0.137687,-0.026130,0.988814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.062277,0.000379,-0.018664,-0.006471,-0.103542,0.124602,0.986768,-0.042183,0.016708,0.009270,-0.050186,-0.102878,-0.007041,0.993402,-0.026461,0.024067,0.021520,-0.074584,-0.088906,0.108477,0.987302,-0.051879,-0.008626,0.015035,-0.018193,-0.058052,0.112158,0.991826,-0.029524,0.004841,0.041576,-0.081073,-0.011473,0.020080,0.996440,-0.012809,0.012962,0.053001,-0.246816,0.469976,0.052199,0.845861,0.025423,-0.024692,-0.023488,-0.415564,0.535928,-0.052990,0.732994,0.017616,-0.040168,-0.053584,-0.435825,0.523529,-0.018264,0.731874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.027452,-0.010310,-0.022875,-0.389142,0.530678,-0.014324,0.752824,0.018972,-0.026538,-0.052675,-0.433518,0.476546,-0.014231,0.764698,0.013432,-0.040670,-0.078360,-0.443192,0.481776,0.027518,0.755457,0.026300,0.003215,-0.024622,-0.338766,0.548379,0.014578,0.764399,0.016712,-0.016309,-0.057271,-0.407747,0.462848,0.029604,0.786535,0.012655,-0.029983,-0.083132,-0.428578,0.434898,0.008514,0.791904,0.051954,8,0.060938,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.016980,-0.046455,0.329730,0.471793,0.816414
13,3528253964.198872,-0.057969,-0.004338,-0.003674,-0.014555,-0.082619,0.042070,0.995586,-0.038386,0.008385,0.020907,-0.062995,-0.138971,-0.020946,0.988069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.062557,-0.000632,-0.021283,-0.003566,-0.112551,0.128905,0.985243,-0.043086,0.016070,0.007699,-0.051938,-0.104908,-0.007817,0.993094,-0.028851,0.021571,0.017020,-0.379826,0.417705,0.029548,0.824852,-0.052797,-0.009560,0.013057,-0.025796,-0.066429,0.116043,0.990685,-0.031454,0.003520,0.039084,-0.077361,-0.021923,0.023562,0.996484,-0.014752,0.012147,0.051770,-0.121866,-0.119752,0.159395,0.972317,0.023874,-0.026371,-0.027001,-0.421234,0.531273,-0.052206,0.733202,0.016731,-0.041822,-0.057369,-0.439785,0.520902,-0.017746,0.731393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.026224,-0.011662,-0.025589,-0.016627,-0.022290,-0.002145,0.999611,0.020827,-0.026265,-0.052471,-0.436664,0.459726,-0.016061,0.773123,0.014617,-0.041375,-0.080239,-0.440408,0.470812,0.029620,0.763872,0.026332,0.002897,-0.025262,-0.327642,0.539780,0.012014,0.775335,0.016321,-0.017698,-0.060108,-0.413874,0.458417,0.033136,0.785789,0.013759,-0.030716,-0.085187,-0.030916,0.182014,-0.069793,0.980329,0.052000,8,0.062840,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.017224,-0.046983,0.328365,0.473760,0.815794
15,3528253964.403764,-0.035221,0.019448,-0.043248,0.392835,-0.474803,-0.008084,0.787514,-0.041373,0.004816,-0.013996,0.371613,-0.493507,-0.098428,0.780170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.027732,0.035622,-0.050427,0.361995,-0.533727,0.057392,0.762103,-0.039822,0.019591,-0.014645,0.377755,-0.469783,-0.070331,0.794770,-0.037363,0.012438,0.000846,0.020470,0.007227,0.051613,0.998431,-0.040348,0.003233,-0.038159,0.350409,-0.496068,0.055842,0.792472,-0.046724,-0.012952,-0.006575,0.348440,-0.420862,-0.018086,0.837340,-0.047102,-0.022188,0.015780,0.239225,-0.545916,0.033930,0.802244,0.042523,-0.006934,-0.011274,-0.016263,0.161353,0.013956,0.986664,0.062165,0.005687,-0.036232,-0.045696,0.144827,0.030226,0.987939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.038695,0.001467,-0.000249,-0.000802,0.141714,0.049113,0.988688,0.057565,0.012928,-0.024565,-0.029569,0.078233,0.010166,0.996445,0.075589,0.022963,-0.046258,-0.049485,0.077537,0.044152,0.994781,0.033944,0.010994,0.009446,0.047156,0.131391,0.099944,0.985152,0.056460,0.024982,-0.023902,-0.027329,0.055881,0.055629,0.996512,0.074734,0.033741,-0.041656,-0.025459,0.034959,0.018224,0.998898,0.051972,8,0.063247,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.017444,-0.047568,0.329398,0.472229,0.816232
17,3528253964.602354,-0.035162,0.019780,-0.042244,0.398106,-0.481762,-0.013035,0.780543,-0.040533,0.005670,-0.015059,0.378824,-0.502707,-0.097767,0.770856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.028167,0.035635,-0.048182,0.359237,-0.544463,0.054126,0.756028,-0.038117,0.020780,-0.016487,0.381453,-0.487639,-0.070126,0.782166,-0.038337,0.011773,0.002424,0.038257,-0.003535,0.046454,0.998181,-0.039810,0.003989,-0.038340,0.364269,-0.502913,0.053191,0.782021,-0.047821,-0.013528,-0.005653,0.116448,-0.118589,-0.016884,0.985947,-0.047887,-0.022593,0.015714,0.240604,-0.552152,0.026964,0.797817,0.042345,-0.007306,-0.010318,-0.006537,0.160196,0.015580,0.986941,0.061828,0.004419,-0.032825,-0.033917,0.131641,0.026834,0.990354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.036931,-0.001389,0.005351,0.026387,0.121095,0.044003,0.991314,0.057468,0.012217,-0.022281,-0.016469,0.070600,0.002768,0.997365,0.075626,0.021879,-0.042392,-0.036523,0.051935,0.036534,0.997313,0.033370,0.009961,0.011373,0.060844,0.122009,0.105157,0.985065,0.056461,0.024305,-0.021427,-0.017613,0.047762,0.053236,0.997284,0.074944,0.033062,-0.038410,-0.012572,0.018391,0.009847,0.999703,0.051940,8,0.062016,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.016960,-0.047349,0.329822,0.471848,0.816293
18,3528253964.716758,-0.056418,-0.003061,0.000093,-0.021591,-0.076101,0.039586,0.996080,-0.037133,0.009260,0.022153,-0.066629,-0.134794,-0.014573,0.988524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.060705,0.001522,-0.015213,-0.022010,-0.099186,0.130397,0.986243,-0.041655,0.017171,0.010104,-0.057735,-0.103777,0.002098,0.992921,-0.027257,0.023075,0.019216,-0.071180,-0.092528,0.117570,0.986179,-0.050854,-0.007668,0.017279,-0.036521,-0.056358,0.115796,0.991000,-0.029592,0.005475,0.041401,-0.346601,0.300156,-0.008223,0.888654,-0.012525,0.014747,0.054279,-0.134204,-0.108831,0.162708,0.971427,0.027183,-0.023628,-0.020549,-0.426824,0.527075,-0.049950,0.733156,0.020231,-0.039600,-0.049964,-0.441228,0.519341,-0.017615,0.731637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.027535,-0.010322,-0.022309,-0.402268,0.530622,-0.017678,0.745860,0.021450,-0.025774,-0.049251,-0.439865,0.467301,-0.018637,0.766682,0.015387,-0.041142,-0.075852,-0.453822,0.483766,0.025377,0.747912,0.028169,0.004769,-0.021554,-0.339310,0.542751,0.008360,0.768258,0.016859,-0.017382,-0.056928,-0.423852,0.467724,0.035796,0.774792,0.015629,-0.029773,-0.079669,-0.435516,0.422307,0.010711,0.794901,0.051639,8,0.059578,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.017056,-0.047113,0.330804,0.474043,0.814636
19,3528253964.795874,-0.036526,0.018285,-0.039827,0.394861,-0.485344,-0.005807,0.780059,-0.041491,0.004085,-0.013322,0.387689,-0.502804,-0.093708,0.766880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.029468,0.034483,-0.045882,0.371708,-0.539276,0.058253,0.753406,-0.039395,0.019202,-0.014489,0.392217,-0.485651,-0.064238,0.778577,-0.039164,0.010333,0.003718,0.319822,-0.524659,0.026404,0.788511,-0.042860,0.000842,-0.033716,0.347577,-0.496430,0.053186,0.793674,-0.048391,-0.015189,-0.004343,0.117387,-0.120640,-0.008892,0.985691,-0.048646,-0.024611,0.017084,0.252573,-0.552067,0.032381,0.793965,0.041058,-0.008326,-0.006795,-0.002682,0.149605,0.020319,0.988533,0.061480,0.005880,-0.032240,-0.034634,0.128835,0.033044,0.990510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.037228,0.000317,0.003416,0.016128,0.134527,0.062138,0.988828,0.056625,0.012935,-0.020831,-0.017616,0.080132,0.016132,0.996498,0.074807,0.023274,-0.041070,-0.043381,0.063429,0.047265,0.995922,0.032291,0.009706,0.012906,0.055722,0.124850,0.108265,0.984676,0.055082,0.024316,-0.018625,-0.015156,0.041619,0.063009,0.997030,0.074027,0.034528,-0.037461,-0.019791,0.019698,0.020791,0.999394,0.051843,8,0.061081,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.017083,-0.043375,0.330469,0.473394,0.815357
21,3528253964.994094,-0.057762,-0.004132,-0.002740,-0.018710,-0.078417,0.039002,0.995982,-0.038519,0.007987,0.020396,-0.062752,-0.138572,-0.023233,0.988089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.062675,-0.001186,-0.021588,-0.003470,-0.112533,0.131198,0.984942,-0.043409,0.015327,0.006720,-0.048647,-0.111282,-0.001868,0.992596,-0.028414,0.022254,0.018270,-0.080898,-0.095005,0.119463,0.984966,-0.052737,-0.009762,0.013061,-0.025894,-0.070995,0.113268,0.990686,-0.031999,0.002593,0.037139,-0.067826,-0.030747,0.027001,0.996858,-0.014917,0.011946,0.051278,-0.248498,0.457491,0.057713,0.851833,0.025045,-0.025572,-0.025142,-0.417776,0.527319,-0.050253,0.738155,0.017499,-0.041466,-0.056166,-0.440631,0.522509,-0.015451,0.729788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.027199,-0.010902,-0.023992,-0.386767,0.525457,-0.014988,0.757682,0.019836,-0.027048,-0.053654,-0.439918,0.466934,-0.012417,0.767001,0.014912,-0.041333,-0.079626,-0.443992,0.471127,0.026310,0.761721,0.026807,0.003384,-0.024452,-0.335878,0.537218,0.011283,0.773599,0.016235,-0.017861,-0.060063,-0.415792,0.460716,0.035081,0.783344,0.013728,-0.030911,-0.084874,-0.435340,0.420078,0.013196,0.796140,0.051822,8,0.062543,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.017641,-0.045366,0.329664,0.472336,0.816188
23,3528253965.194860,-0.034995,0.019831,-0.043252,0.391313,-0.486478,-0.008956,0.781110,-0.040007,0.005944,-0.016213,0.378830,-0.503637,-0.098745,0.770122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.028704,0.035388,-0.048604,0.358434,-0.532945,0.053822,0.764590,-0.038265,0.020703,-0.016954,0.377766,-0.486167,-0.067489,0.785099,-0.039364,0.011053,0.003717,0.307784,-0.512624,0.025688,0.801140,-0.040808,0.003050,-0.037620,0.353047,-0.498775,0.056263,0.789567,-0.047540,-0.013590,-0.006019,0.345609,-0.422614,-0.019275,0.837604,-0.047009,-0.022143,0.014655,0.240936,-0.551626,0.029602,0.797986,0.042352,-0.007459,-0.009880,-0.005557,0.156297,0.014827,0.987583,0.063014,0.007047,-0.037349,-0.044774,0.142050,0.030412,0.988379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.038410,0.000910,0.001229,0.011473,0.134411,0.051137,0.989539,0.058043,0.013456,-0.024499,-0.022843,0.076175,0.012326,0.996757,0.076311,0.023922,-0.046278,-0.045996,0.074492,0.045330,0.995128,0.034038,0.011085,0.009460,0.039599,0.131259,0.102961,0.985191,0.057122,0.025826,-0.024411,-0.028158,0.049438,0.052701,0.996988,0.075228,0.034251,-0.040668,-0.019076,0.027834,0.011808,0.999361,0.052050,8,0.063674,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.017268,-0.048793,0.328308,0.474682,0.815175
25,3528253965.395099,-0.057954,-0.004497,-0.003224,-0.012465,-0.078707,0.039291,0.996045,-0.037989,0.008678,0.021823,-0.066577,-0.129804,-0.020092,0.989098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.062532,-0.000529,-0.020211,-0.005841,-0.110773,0.128402,0.985499,-0.043851,0.014346,0.005193,-0.038987,-0.111564,-0.004019,0.992984,-0.027821,0.023048,0.019815,-0.370784,0.417064,0.028785,0.829306,-0.052867,-0.010048,0.012612,-0.024457,-0.064563,0.121821,0.990148,-0.031363,0.003188,0.038631,-0.330541,0.291639,-0.008663,0.897560,-0.014825,0.011591,0.050499,-0.119668,-0.116705,0.164292,0.972146,0.026064,-0.024797,-0.023603,-0.413932,0.527083,-0.048048,0.740632,0.017673,-0.041127,-0.055565,-0.436197,0.523539,-0.012164,0.731773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.027391,-0.010646,-0.023654,-0.391962,0.524211,-0.018818,0.755787,0.020125,-0.026601,-0.052951,-0.437489,0.461890,-0.014626,0.771393,0.015321,-0.040780,-0.078668,-0.436060,0.474425,0.025635,0.764274,0.025522,0.002310,-0.026332,-0.337958,0.542576,0.014193,0.768892,0.016236,-0.017562,-0.059690,-0.412140,0.461788,0.033603,0.784706,0.013555,-0.030672,-0.084609,-0.431399,0.427132,0.015546,0.794488,0.051907,8,0.062084,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.016913,-0.045888,0.328151,0.473431,0.816134
