frame_id,time_s,tag0_x,tag0_y,tag0_z,tag0_qx,tag0_qy,tag0_qz,tag0_qw,tag1_x,tag1_y,tag1_z,tag1_qx,tag1_qy,tag1_qz,tag1_qw,tag2_x,tag2_y,tag2_z,tag2_qx,tag2_qy,tag2_qz,tag2_qw,tag3_x,tag3_y,tag3_z,tag3_qx,tag3_qy,tag3_qz,tag3_qw,tag4_x,tag4_y,tag4_z,tag4_qx,tag4_qy,tag4_qz,tag4_qw,tag5_x,tag5_y,tag5_z,tag5_qx,tag5_qy,tag5_qz,tag5_qw,tag6_x,tag6_y,tag6_z,tag6_qx,tag6_qy,tag6_qz,tag6_qw,tag7_x,tag7_y,tag7_z,tag7_qx,tag7_qy,tag7_qz,tag7_qw,tag8_x,tag8_y,tag8_z,tag8_qx,tag8_qy,tag8_qz,tag8_qw,tag9_x,tag9_y,tag9_z,tag9_qx,tag9_qy,tag9_qz,tag9_qw,tag10_x,tag10_y,tag10_z,tag10_qx,tag10_qy,tag10_qz,tag10_qw,tag11_x,tag11_y,tag11_z,tag11_qx,tag11_qy,tag11_qz,tag11_qw,tag12_x,tag12_y,tag12_z,tag12_qx,tag12_qy,tag12_qz,tag12_qw,tag13_x,tag13_y,tag13_z,tag13_qx,tag13_qy,tag13_qz,tag13_qw,tag14_x,tag14_y,tag14_z,tag14_qx,tag14_qy,tag14_qz,tag14_qw,tag15_x,tag15_y,tag15_z,tag15_qx,tag15_qy,tag15_qz,tag15_qw,tag16_x,tag16_y,tag16_z,tag16_qx,tag16_qy,tag16_qz,tag16_qw,tag17_x,tag17_y,tag17_z,tag17_qx,tag17_qy,tag17_qz,tag17_qw,left_disp_avg,left_visible_count,right_disp_avg,right_visible_count,tag0_missing,tag1_missing,tag2_missing,tag3_missing,tag4_missing,tag5_missing,tag6_missing,tag7_missing,tag8_missing,tag9_missing,tag10_missing,tag11_missing,tag12_missing,tag13_missing,tag14_missing,tag15_missing,tag16_missing,tag17_missing,velocity_m_s,out_qx,out_qy,out_qz,out_qw
92,3528255369.857164,-0.037453,0.018159,-0.039869,0.385150,-0.479107,-0.018401,0.788528,-0.041673,0.004644,-0.013351,0.376873,-0.490530,-0.096088,0.779816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.039305,0.019934,-0.014994,0.378729,-0.480500,-0.070599,0.787845,-0.038577,0.011396,0.003302,0.306406,-0.512541,0.025847,0.801716,-0.040547,0.003471,-0.037693,0.352323,-0.506929,0.053107,0.784902,-0.046743,-0.013096,-0.006135,0.345685,-0.425358,-0.019578,0.836176,-0.046867,-0.022340,0.015851,0.247802,-0.538909,0.031177,0.804486,0.043253,-0.005564,-0.013892,-0.018557,0.166587,0.010614,0.985795,0.062356,0.006921,-0.038136,-0.046938,0.150309,0.035879,0.986872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.038750,0.001484,-0.000500,0.000468,0.143973,0.057933,0.987884,0.057333,0.013197,-0.024863,-0.023184,0.092075,0.022658,0.995224,0.075634,0.023984,-0.048041,-0.050262,0.085407,0.043101,0.994144,0.034069,0.010765,0.009885,0.053258,0.113806,0.085536,0.988380,0.054141,0.022319,-0.017482,0.009671,0.073730,0.073142,0.994545,0.074723,0.034335,-0.042569,-0.023896,0.024247,0.008841,0.999381,0.049605,7,0.063173,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000000,-0.566447,0.581976,0.423273,0.401598
309,3528255391.561852,-0.059374,-0.005998,-0.008276,-0.439125,0.290461,-0.018161,0.849983,-0.039143,0.007450,0.018565,-0.054273,-0.135220,-0.027600,0.988943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.063478,-0.001560,-0.024496,0.004057,-0.115666,0.130284,0.984698,-0.043759,0.014946,0.005044,-0.436574,0.339507,-0.075215,0.829748,-0.028583,0.021942,0.017463,-0.376931,0.411213,0.029675,0.829425,-0.054242,-0.011204,0.007955,-0.014582,-0.086039,0.111560,0.989919,-0.032177,0.002621,0.036975,-0.069133,-0.022418,0.022155,0.997109,-0.015376,0.011273,0.050207,-0.119572,-0.119628,0.159916,0.972532,0.024201,-0.026155,-0.026533,-0.421027,0.526019,-0.057038,0.736740,0.018289,-0.040660,-0.055454,-0.436365,0.511495,-0.018140,0.740020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.028584,-0.009923,-0.022057,-0.373275,0.520238,-0.009237,0.768071,0.019047,-0.027299,-0.054894,-0.435913,0.471913,-0.013237,0.766227,0.013886,-0.041624,-0.081514,-0.444742,0.463125,0.019015,0.766393,0.026635,0.002849,-0.025267,-0.335388,0.519673,0.007782,0.785744,0.020193,-0.014045,-0.054381,-0.381689,0.474259,0.022044,0.793036,0.013623,-0.030693,-0.085714,-0.430375,0.418405,0.005315,0.799804,0.052196,8,0.062296,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.437513,0.108063,0.910426,0.134810,0.375864
315,3528255392.162044,-0.033956,0.020288,-0.042705,0.412068,-0.482192,-0.018156,0.772892,-0.042780,0.003614,-0.011491,0.385881,-0.490262,-0.100747,0.774977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.027452,0.035723,-0.047768,0.362738,-0.549566,0.058229,0.750338,-0.039015,0.019705,-0.014440,0.387485,-0.492242,-0.077019,0.775642,-0.037999,0.011547,0.002227,0.318399,-0.531894,0.020393,0.784407,-0.039851,0.003770,-0.037289,0.353421,-0.519718,0.056118,0.775782,-0.048353,-0.014323,-0.004622,0.112454,-0.125498,-0.016962,0.985554,-0.048673,-0.023474,0.016584,0.252124,-0.558612,0.031940,0.789535,0.041061,-0.008675,-0.007245,-0.004487,0.150773,0.009503,0.988513,0.061309,0.004269,-0.031172,-0.040705,0.124953,0.023684,0.991044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.036635,-0.001090,0.005035,0.018962,0.124095,0.058119,0.990385,0.056575,0.011621,-0.020231,-0.023539,0.068206,0.012750,0.997312,0.075438,0.022153,-0.041587,-0.043750,0.055618,0.024514,0.997192,0.032326,0.008836,0.013665,0.050610,0.102679,0.087550,0.989561,0.052972,0.020249,-0.011888,0.011812,0.054895,0.063707,0.996388,0.074526,0.032768,-0.036746,-0.016172,0.021057,0.007149,0.999622,0.052000,8,0.060261,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.247403,0.115622,0.904094,0.131841,0.389696
321,3528255392.761412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.043515,0.002659,-0.010192,0.391414,-0.491559,-0.103483,0.771010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.038348,0.019871,-0.015018,0.400635,-0.501616,-0.073120,0.763235,-0.039210,0.010195,0.004132,0.038312,-0.010509,0.050771,0.997920,-0.040989,0.002813,-0.035411,0.362468,-0.517984,0.055987,0.772771,-0.048830,-0.015364,-0.003568,0.366524,-0.432171,-0.017885,0.823752,-0.049173,-0.024889,0.017499,0.266969,-0.554416,0.032134,0.787603,0.040547,-0.008858,-0.006028,0.003757,0.149713,0.015142,0.988606,0.060482,0.004157,-0.029018,-0.028588,0.126609,0.035607,0.990901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.036142,-0.001266,0.005972,0.017361,0.121099,0.059431,0.990708,0.055785,0.011675,-0.018481,-0.013537,0.080855,0.022984,0.996369,0.074245,0.021847,-0.038250,-0.032776,0.060320,0.034860,0.997032,0.032167,0.009138,0.013432,0.064675,0.108703,0.098370,0.987079,0.051760,0.019598,-0.008853,0.024468,0.051443,0.074356,0.995603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.049100,6,0.054876,7,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.400107,0.118013,0.898252,0.129608,0.403012
323,3528255392.960096,-0.057730,-0.004110,-0.002803,-0.011397,-0.080246,0.030368,0.996247,-0.038091,0.008261,0.020547,-0.064016,-0.124578,-0.024228,0.989846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.063105,-0.001880,-0.022653,-0.000384,-0.116624,0.140325,0.983213,-0.043331,0.014891,0.005811,-0.042866,-0.117066,-0.008506,0.992162,-0.028000,0.022297,0.018081,-0.070644,-0.090205,0.116895,0.986513,-0.052757,-0.009727,0.012362,-0.028252,-0.075290,0.121343,0.989348,-0.030991,0.003438,0.038168,-0.073651,-0.027344,0.024954,0.996597,-0.014086,0.012334,0.051018,-0.126818,-0.112804,0.161736,0.972129,0.025881,-0.024794,-0.023130,-0.419635,0.529390,-0.052761,0.735438,0.017303,-0.041213,-0.054811,-0.444351,0.526586,-0.019752,0.724479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.025965,-0.011718,-0.025228,-0.395363,0.535113,-0.008785,0.746502,0.018813,-0.027351,-0.053413,-0.435998,0.485079,-0.009824,0.757963,0.013989,-0.041651,-0.078782,-0.451203,0.474886,0.016789,0.755392,0.026958,0.003411,-0.024232,-0.333526,0.529809,0.001994,0.779782,0.021513,-0.012843,-0.051107,-0.378954,0.473616,0.022974,0.794704,0.012764,-0.031270,-0.084095,-0.439803,0.429907,0.004720,0.788500,0.051756,8,0.061060,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.462573,0.118585,0.897610,0.127415,0.404969
325,3528255393.157512,-0.057249,-0.003511,-0.001808,-0.018278,-0.081872,0.030498,0.996008,-0.037089,0.009679,0.023380,-0.061449,-0.115937,-0.029268,0.990922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.062337,-0.000452,-0.020468,-0.007110,-0.110113,0.137706,0.984308,-0.043258,0.014705,0.005582,-0.039771,-0.120068,-0.004776,0.991957,-0.027326,0.023076,0.019636,-0.075950,-0.085675,0.120453,0.986095,-0.052747,-0.009983,0.011672,-0.015910,-0.080290,0.119546,0.989449,-0.030623,0.003674,0.038902,-0.073004,-0.022717,0.024193,0.996779,-0.012959,0.013495,0.053885,-0.118066,-0.111051,0.156196,0.974336,0.025575,-0.024827,-0.023454,-0.417147,0.534265,-0.053395,0.733279,0.019424,-0.039519,-0.051865,-0.433730,0.522245,-0.017615,0.734049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.027597,-0.010296,-0.022698,-0.383208,0.532950,-0.014636,0.754256,0.019062,-0.026884,-0.052933,-0.439993,0.481812,-0.013330,0.757684,0.014811,-0.040656,-0.077613,-0.442953,0.475366,0.016196,0.759972,0.026651,0.003246,-0.024464,-0.349451,0.532187,0.009235,0.771087,0.021393,-0.012616,-0.051002,-0.375691,0.485219,0.021756,0.789269,0.013000,-0.030639,-0.083586,-0.432988,0.440459,0.005309,0.786441,0.052044,8,0.060265,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.393171,0.117555,0.898349,0.125023,0.404374
327,3528255393.366498,-0.036964,0.018580,-0.038666,0.027387,-0.092160,-0.055536,0.993817,-0.042204,0.004201,-0.012001,0.386183,-0.495645,-0.105041,0.770821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.027481,0.036181,-0.047419,0.364910,-0.554596,0.057132,0.745654,-0.038631,0.020174,-0.014680,0.390164,-0.495059,-0.077360,0.772467,-0.040022,0.010133,0.005665,0.312498,-0.521414,0.017652,0.793827,-0.041099,0.003234,-0.035644,0.354964,-0.510839,0.053290,0.781156,-0.048259,-0.014212,-0.004360,0.359771,-0.428290,-0.024366,0.828576,-0.048242,-0.023321,0.016408,0.248210,-0.556042,0.023933,0.792866,0.040413,-0.009649,-0.005906,0.002262,0.156115,0.006887,0.987712,0.060751,0.004008,-0.030821,-0.029501,0.134471,0.031459,0.989979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.037431,0.000091,0.002474,0.014984,0.132112,0.057495,0.989453,0.055963,0.011026,-0.019170,-0.008516,0.077963,0.019922,0.996721,0.074891,0.022275,-0.041738,-0.035768,0.067555,0.034746,0.996469,0.032110,0.008426,0.014333,0.073370,0.105569,0.093891,0.987247,0.052617,0.020000,-0.011435,0.016475,0.062321,0.065057,0.995797,0.074076,0.033004,-0.037081,-0.004638,0.034186,0.008191,0.999371,0.051884,8,0.059906,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.347181,0.119251,0.898557,0.123666,0.403833
329,3528255393.571373,-0.035980,0.018911,-0.040205,0.402021,-0.488208,-0.018385,0.774399,-0.041440,0.004406,-0.013648,0.388381,-0.502895,-0.095179,0.766289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.027725,0.035888,-0.047475,0.364005,-0.555490,0.061357,0.745095,-0.037808,0.020517,-0.016556,0.396460,-0.497836,-0.070241,0.768144,-0.038900,0.010750,0.003058,0.035691,-0.009883,0.052771,0.997920,-0.039024,0.004246,-0.038497,0.362156,-0.524634,0.059175,0.768180,-0.047651,-0.014316,-0.005681,0.348152,-0.437829,-0.018674,0.828702,-0.047514,-0.023215,0.014608,0.147480,0.005085,0.143615,0.978570,0.041469,-0.007959,-0.007607,-0.001109,0.149235,0.013931,0.988703,0.061616,0.005504,-0.031453,-0.031955,0.126205,0.035684,0.990847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.037566,0.000536,0.002875,0.014112,0.126317,0.061413,0.989987,0.056511,0.012237,-0.019519,-0.009975,0.075461,0.024117,0.996807,0.075675,0.024055,-0.042524,-0.040548,0.066272,0.034079,0.996395,0.033081,0.010251,0.011671,0.045136,0.104813,0.089005,0.989472,0.053380,0.021790,-0.013123,0.016325,0.060583,0.077460,0.995019,0.074572,0.034421,-0.037225,-0.006796,0.027574,0.015938,0.999470,0.051646,8,0.060867,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.309328,0.115049,0.898494,0.124127,0.405049
330,3528255393.674604,-0.036963,0.018274,-0.038640,0.395294,-0.490502,-0.020499,0.776357,-0.042127,0.003954,-0.012301,0.381893,-0.503861,-0.098987,0.768430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.028962,0.035087,-0.045604,0.357272,-0.553419,0.061040,0.749905,-0.038681,0.019913,-0.014872,0.392516,-0.494521,-0.074773,0.771874,-0.038324,0.011144,0.002702,0.034616,-0.004051,0.053111,0.997980,-0.041370,0.002612,-0.035307,0.353526,-0.510727,0.054863,0.781772,-0.048856,-0.015120,-0.003667,0.347430,-0.431714,-0.019553,0.832186,-0.048626,-0.024017,0.016669,0.157601,0.006795,0.146911,0.976490,0.040892,-0.008829,-0.006733,-0.000336,0.156099,0.012983,0.987656,0.060557,0.003585,-0.029182,-0.029190,0.121765,0.030148,0.991671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.037354,0.000185,0.002915,0.009948,0.130714,0.059119,0.989606,0.055702,0.010818,-0.017808,-0.006141,0.073787,0.018609,0.997081,0.074699,0.022005,-0.040025,-0.032665,0.066851,0.034026,0.996647,0.032865,0.009706,0.012092,0.045723,0.108073,0.091056,0.988908,0.052415,0.020071,-0.010584,0.020384,0.057365,0.072564,0.995504,0.073631,0.032491,-0.034562,0.000203,0.018788,0.008842,0.999784,0.051679,8,0.059404,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.273886,0.112734,0.899166,0.123256,0.404473
331,3528255393.775006,-0.036299,0.019173,-0.040669,0.394964,-0.490198,-0.019409,0.776745,-0.041453,0.004733,-0.013451,0.384034,-0.494526,-0.097136,0.773645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.029151,0.035478,-0.047026,0.356913,-0.545657,0.060600,0.755777,-0.037872,0.020862,-0.016574,0.389286,-0.488229,-0.072956,0.777667,-0.037265,0.012183,0.001310,0.328092,-0.520596,0.030781,0.787647,-0.039645,0.004308,-0.038331,0.360959,-0.511203,0.057174,0.777889,-0.048159,-0.014470,-0.004183,0.338847,-0.425300,-0.022895,0.838915,-0.046946,-0.022657,0.015331,0.147384,0.012798,0.142707,0.978646,0.041899,-0.007378,-0.009893,-0.004145,0.167379,0.014246,0.985781,0.061004,0.004725,-0.032523,-0.031460,0.135375,0.034514,0.989693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.038667,0.001924,-0.000749,0.008305,0.141195,0.063969,0.987878,0.057260,0.013849,-0.024687,-0.027111,0.089420,0.019202,0.995440,0.075106,0.023792,-0.045108,-0.042499,0.077317,0.037668,0.995388,0.033391,0.010182,0.011200,0.053233,0.112362,0.091765,0.987988,0.052839,0.020811,-0.012841,0.022026,0.064208,0.070713,0.995184,0.074003,0.034049,-0.039406,-0.006556,0.038324,0.011573,0.999177,0.051624,8,0.061466,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.261702,0.113879,0.899296,0.123958,0.403649
